UID	RG	STD_T	STD_V	MEAN_T	MEAN_V	SSTD_T	SSTD_V	DIST_HOME	MEAN_log10_v	SSTD_log10_v	AVG_DIST
1.000000	0.000000	0.219168	0.246463	35765.700000	51.900000	831.685444	25.748571	2.734369	1.654738	0.259794	0.088162
1.000000	1.137194	0.849658	0.624887	81468.777778	411.333333	3244.314326	504.392456	0.483050	2.254312	0.662793	0.242966
2.000000	1.597176	2.071665	0.379896	39743.714286	2945.428571	8055.552303	2226.894913	1.159282	3.326710	0.410334	0.214922
3.000000	0.761939	2.262499	0.510542	30714.777778	111.000000	8639.074701	146.730195	0.545534	1.727541	0.541512	0.250332
4.000000	0.000000	3.880465	0.581281	26799.384615	27.461538	14540.097710	44.280574	0.000000	1.037352	0.605016	0.324764
6.000000	2.348863	0.964177	0.379273	34602.600000	11.800000	3880.737146	9.284396	1.917836	0.934049	0.424040	0.219765
7.000000	3.433614	1.662433	0.144636	65881.857143	81.857143	6464.280095	31.672431	-1.000000	1.887953	0.156224	0.222419
8.000000	0.000000	1.841182	0.258972	17626.117647	8.529412	6832.247845	4.731776	0.000000	0.868912	0.266942	0.135942
10.000000	0.147372	4.686959	0.678061	54245.735294	1485.573529	16998.504803	4321.826712	0.018004	2.473918	0.683102	0.365422
11.000000	1.456410	3.792142	0.695605	53900.312500	812.718750	13870.151034	2275.509432	17.386833	2.220240	0.706735	0.349433
11.000000	0.906841	2.941860	0.788217	20631.400000	1009.300000	10865.826466	2488.179298	0.208051	2.201261	0.808693	0.341579
11.000000	1.380392	0.874082	0.537978	77543.600000	940.400000	3518.113884	1498.628306	21.624372	2.598155	0.601478	0.237831
12.000000	1.921033	4.743280	0.790681	61946.150000	221.950000	17293.341264	361.669062	0.842073	1.780289	0.800754	0.424634
13.000000	3.738166	2.929585	0.468612	63075.250000	292.250000	11015.467176	318.239225	3.464431	2.238851	0.489449	0.333181
14.000000	3.535769	3.038053	0.301237	53498.500000	1877.900000	11528.600158	1780.838470	-1.000000	3.146803	0.317531	0.296746
14.000000	1.860739	2.010222	0.849176	36173.500000	702.750000	7736.465564	995.359196	-1.000000	2.255243	0.907807	0.366793
14.000000	0.366523	1.385112	0.266344	58578.600000	25.800000	5574.966574	12.637247	-1.000000	1.347364	0.297782	0.147375
15.000000	1.745935	1.340925	0.435046	70112.000000	244.230769	5024.443468	256.720391	2.254486	2.185861	0.452810	0.203238
15.000000	1.101901	1.714711	0.389025	33328.833333	184.500000	6762.139348	153.728007	5.267853	2.110195	0.426155	0.203135
16.000000	2.962246	6.221775	0.917447	48571.644444	571.655556	22523.873885	1449.521232	1.857905	1.941041	0.922586	0.527151
17.000000	1.494657	5.261294	0.653609	35143.844828	51.086207	19106.080656	77.766020	1.632155	1.286353	0.659317	0.399656
18.000000	0.000000	2.205104	0.256413	19855.800000	8.800000	8875.370539	5.718391	0.000000	0.871129	0.286679	0.176202
19.000000	1.910238	2.120237	0.219534	39149.200000	580.800000	8533.791168	343.395108	-1.000000	2.706937	0.245446	0.197418
20.000000	0.000000	2.522998	0.154294	16704.885714	8.742857	9215.393617	5.408832	0.000000	0.902912	0.156547	0.152588
20.000000	1.911360	1.342436	0.339809	44148.714286	31.142857	5219.989071	18.765470	19.650907	1.387296	0.367036	0.197460
20.000000	0.000000	0.095673	0.032797	55336.600000	6.600000	385.074408	0.547723	8.993111	0.818319	0.036668	0.013969
21.000000	0.000000	4.827464	0.426554	39021.941176	13.529412	17913.728184	18.577936	0.000000	0.924152	0.439682	0.329410
22.000000	0.642146	5.944410	0.749561	45574.411765	152.784314	21612.816102	242.316100	0.198186	1.578093	0.757020	0.444575
23.000000	0.000000	2.166739	0.077682	14294.909091	8.545455	8180.980497	1.694912	0.000000	0.924534	0.081474	0.133988
23.000000	0.359890	1.025955	0.448992	49109.875000	40.875000	3948.450489	71.680716	4.734327	1.285871	0.479993	0.169264
24.000000	2.805648	7.209415	0.365126	43849.153846	433.307692	26467.882363	357.710807	1.367666	2.506050	0.372357	0.473991
25.000000	0.376724	1.659642	0.209979	70067.461538	14.923077	6218.676368	7.620822	0.160636	1.124066	0.218553	0.128455
26.000000	2.548794	1.429612	0.238957	56943.600000	88.400000	5754.077624	59.517224	3.121673	1.876477	0.267162	0.209691
27.000000	1.854463	2.304053	0.364734	46613.416667	1659.750000	8472.990601	2399.106396	2.739317	3.029864	0.372578	0.221191
28.000000	2.186833	5.003039	0.768275	59800.866667	2156.888889	18214.461034	2813.743093	-1.000000	2.831186	0.776957	0.432607
30.000000	2.476455	1.318035	0.456223	38071.857143	357.000000	5125.107525	301.452594	11.527704	2.355770	0.492777	0.250673
30.000000	1.268524	1.856237	0.233823	48550.400000	627.400000	7471.207821	443.737873	4.080684	2.727054	0.261422	0.168547
31.000000	0.231270	5.620449	0.459748	32861.208333	17.541667	20668.796231	28.145552	0.028086	0.955353	0.469636	0.375260
32.000000	1.398371	4.054445	0.630084	56533.315789	346.894737	14995.965621	527.156091	0.627673	2.119109	0.647350	0.351310
33.000000	1.661903	1.769700	0.271744	51649.000000	202.300000	6715.540352	116.933077	1.124219	2.230992	0.286444	0.178050
34.000000	2.360986	3.425567	0.424538	63676.529412	1423.176471	12711.577061	1214.466201	-1.000000	2.986497	0.437603	0.294526
34.000000	0.000000	0.064826	0.321151	3790.600000	15.000000	260.920103	8.514693	-1.000000	1.086965	0.359057	0.112140
36.000000	1.223013	3.913252	0.564239	59225.076923	4622.923077	14662.952064	8545.426491	3.436691	3.217274	0.587278	0.324646
36.000000	0.000000	2.262550	0.580897	17644.538462	97.846154	8477.773603	94.702029	0.000000	1.744029	0.604617	0.252240
39.000000	1.571922	2.866157	0.333081	68033.666667	76.500000	11302.982592	52.549976	-1.000000	1.776830	0.364872	0.255201
40.000000	1.052920	7.582229	0.471757	50650.318182	9.000000	27938.371607	7.946248	0.221364	0.743072	0.482859	0.483905
41.000000	0.599781	0.320096	0.481982	66562.200000	12.000000	1288.360858	12.267844	-1.000000	0.845392	0.538873	0.199092
42.000000	0.473956	3.827980	0.963155	25345.400000	347.450000	14138.726826	676.607285	0.108733	1.779577	0.988176	0.426348
42.000000	0.000000	1.589032	0.531720	76654.444444	345.000000	6067.521139	506.068177	0.000000	2.206515	0.563974	0.226661
43.000000	0.000000	3.111170	0.532329	17099.714286	140.071429	11623.009583	204.115904	0.000000	1.809736	0.552424	0.279003
43.000000	3.111332	2.385930	0.401236	75468.000000	115.750000	8971.279882	100.747321	2.980745	1.896062	0.419077	0.273210
45.000000	2.457471	5.851942	1.165930	50202.847458	1472.830508	21247.825589	4219.941502	2.538651	1.862196	1.175938	0.566702
45.000000	1.259965	1.156195	0.119699	32938.666667	5372.666667	4559.571676	1585.624504	0.470758	3.714000	0.131123	0.118446
46.000000	2.680004	6.553015	0.920387	45321.989583	3468.159722	23631.917755	17717.614617	0.220719	2.634944	0.921989	0.536154
47.000000	0.000000	3.760198	0.372539	27852.933333	180.800000	14011.827175	345.243434	0.000000	1.997391	0.385614	0.254265
47.000000	0.000000	0.342155	0.000000	22520.000000	1.000000	1349.323979	0.000000	0.000000	0.000000	0.000000	0.020682
49.000000	0.251858	6.274389	0.500687	45393.864198	16.061728	22728.536836	30.077959	0.040073	0.873334	0.503807	0.406941
50.000000	2.388874	4.581877	0.800978	54566.400000	349.333333	16776.739724	553.287624	1.541048	2.003098	0.814671	0.429379
51.000000	2.057251	4.511673	1.018095	33326.200000	642.828571	16479.144964	1576.718176	0.593358	1.843071	1.032959	0.469969
52.000000	0.631885	2.604167	0.560864	57890.181818	21.727273	9832.584541	23.791137	10.165001	1.054025	0.588239	0.271363
53.000000	0.000000	2.744453	0.681542	17350.687500	164.437500	10204.050403	212.492186	0.000000	1.821180	0.703894	0.306983
53.000000	2.340608	3.213342	0.231578	48306.500000	989.416667	12082.413730	557.659143	10.842541	2.934397	0.241875	0.259379
53.000000	1.317032	1.230871	0.569026	79155.857143	160.714286	4786.173782	195.454781	0.815325	1.866184	0.614618	0.248845
54.000000	2.351311	2.329858	0.458345	56795.153846	252.384615	8729.974015	264.945132	-1.000000	2.182122	0.477061	0.268732
55.000000	1.204067	3.270002	0.420263	55429.700000	3890.300000	12408.784756	3360.785161	0.586018	3.410315	0.442996	0.277804
55.000000	0.922451	1.483619	0.246004	50438.666667	50.166667	5850.804549	29.026999	0.623161	1.634605	0.269484	0.141197
56.000000	0.851340	2.315681	0.475267	42307.911765	171.411765	8461.817845	346.146852	0.359527	1.878580	0.482415	0.222812
57.000000	1.631780	4.871626	0.480850	47295.821429	123.940476	17643.187261	155.983576	2.310074	1.854820	0.483738	0.343774
59.000000	5.571813	4.005708	0.685928	53315.747312	933.602151	14459.471025	1845.654268	-1.000000	2.482803	0.687779	0.447128
62.000000	0.617657	4.246454	0.709504	60627.430556	1103.680556	15394.515812	2180.175195	0.921836	2.545236	0.714483	0.356957
62.000000	0.000000	0.068914	0.070316	1988.400000	5738.000000	277.373935	915.111195	0.000000	3.753523	0.078616	0.022183
